"","Variable","Subset","Type","Test"
"1","Name","info","info",NA
"2","Code","info","info",NA
"3","Data.Collection.Number","info","info",NA
"4","Data.Collection.Date","info","info",NA
"5","Assessor","info","info",NA
"6","Breed","info","info",NA
"7","Sex","info","info",NA
"8","Litter","info","info",NA
"9","Source","info","info",NA
"10","PR.Sup","info","info",NA
"11","DOB","info","info",NA
"12","DOA","info","info",NA
"13","End.Date","info","info",NA
"14","Duration","info","info",NA
"15","Status","info","info",NA
"16","Label","info","info",NA
"17","Outcome","info","info",NA
"18","Familiarisation.Start.Time..MM.SS.","familiarisation","time",NA
"19","Familiarisation.Response..Oriented.to.Handler.","familiarisation","ordinal","Logistic Regression"
"20","Familiarisation.Response..Exploration.","familiarisation","ordinal","Logistic Regression"
"21","Familiarisation.Response..Waiting.","familiarisation","ordinal","Logistic Regression"
"22","Familiarisation.Comments","familiarisation","comments",NA
"23","Call.Back.Start.Time..MM.SS.","familiarisation","time",NA
"24","Call.Back.Response","familiarisation","ordinal","Logistic Regression"
"25","Call.Back.Comments","familiarisation","comments",NA
"26","Walking.Start.Time..MM.SS.","walking","time",NA
"27","Walking.Distractibility","walking","ordinal","Logistic Regression"
"28","Walking.Pull.on.leash","walking","ordinal","Logistic Regression"
"29","Walking.Pull.strength","walking","ordinal","Logistic Regression"
"30","Walking.Initiative","walking","ordinal","Logistic Regression"
"31","Walking.Comments","walking","comments",NA
"32","Standing.Start.Time..MM.SS.","standing","time",NA
"33","Standing.Response","standing","ordinal","Logistic Regression"
"34","Standing.Comments","standing","comments",NA
"35","Sitting.Start.Time..MM.SS.","sitting","time",NA
"36","Sitting.Response","sitting","ordinal","Logistic Regression"
"37","Sitting.Comments","sitting","comments",NA
"38","Lying.Start.Time..MM.SS.","lying","time",NA
"39","Lying.Response","lying","ordinal","Logistic Regression"
"40","Lying.Settled","lying","ordinal","Logistic Regression"
"41","Lying.Finish.Time..MM.SS.","lying","time",NA
"42","Lying.Comments","lying","comments",NA
"43","Body.check.Start.Time..MM.SS.","body","time",NA
"44","Body.check.Table","body","ordinal","Logistic Regression"
"45","Body.check.Response","body","ordinal","Logistic Regression"
"46","Body.check.General..Mouths.","body","categorical","Chisq"
"47","Body.check.General..Licks.","body","categorical","Chisq"
"48","Body.check.Finish.Time..MM.SS.","body","time",NA
"49","Body.Check.Comments","body","comments",NA
"50","Tea.Towel.Start.Time..MM.SS.","towel","time",NA
"51","Tea.Towel.First.Response..Indifferent.","towel","categorical","Chisq"
"52","Tea.Towel.First.Response..Change.from.Neutral.","towel","categorical","Chisq"
"53","Tea.Towel.First.Response..Turns.head.","towel","categorical","Chisq"
"54","Tea.Towel.First.Response..Attempts.to.Removes.towel.by.moving.","towel","categorical","Chisq"
"55","Tea.Towel.First.Response..Attempts.to.Removes.towel.with.mouth.","towel","categorical","Chisq"
"56","Tea.Towel.First.Response..Plays.","towel","categorical","Chisq"
"57","Tea.Towel.Second.Response..Indifferent.","towel","categorical","Chisq"
"58","Tea.Towel.Second.Response..Turns.head.","towel","categorical","Chisq"
"59","Tea.Towel.Second.Response..Change.from.Neutral.","towel","categorical","Chisq"
"60","Tea.Towel.Second.Response..Attempts.to.Removes.towel.by.moving.","towel","categorical","Chisq"
"61","Tea.Towel.Second.Response..Attempts.to.Removes.towel.with.mouth.","towel","categorical","Chisq"
"62","Tea.Towel.Second.Response..Plays.","towel","categorical","Chisq"
"63","Tea.Towel.Finish.Time..MM.SS.","towel","time",NA
